time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2015-01-24,1.8338618,2.5839486,0.7500868,6.0883,6.4557304,0.3674302,0.46935922,0.43670815,-0.032651067,1.0235789,1.4246054,0.4010265,12.758446,11.270668,-1.4877777
2015-01-25,1.7144504,2.4609416,0.7464912,5.8388453,6.234742,0.3958969,0.43985105,0.4582545,0.01840344,1.0015607,1.4163609,0.41480017,12.082744,11.121931,-0.96081257
2015-01-26,1.6161373,2.3687432,0.7526059,6.680322,5.941667,-0.7386551,0.48353156,0.46307713,-0.020454437,0.99614286,1.4121709,0.41602802,14.456888,11.02316,-3.4337282
2015-01-27,1.8375461,2.2628996,0.42535353,5.8189974,5.597437,-0.22156048,0.5452707,0.4560561,-0.08921459,0.9900694,1.4198251,0.4297557,13.76204,11.20204,-2.5600004
2015-01-28,1.7652454,2.199795,0.43454957,5.5594044,5.2043447,-0.35505962,0.38070545,0.44438344,0.063678,0.9320005,1.42728,0.49527943,12.74536,11.230909,-1.514451
2015-01-29,1.4815831,2.1420922,0.6605091,4.7865405,4.8387966,0.052256107,0.3517016,0.43684435,0.08514276,1.0105224,1.4791017,0.4685793,11.301311,11.516674,0.2153635
2015-01-30,1.9522996,2.1299386,0.17763901,4.5186563,4.701394,0.18273783,0.35495982,0.4348142,0.0798544,1.1695766,1.518187,0.3486104,10.480553,11.693729,1.2131767
2015-01-31,2.0110424,2.1304893,0.11944699,5.573972,6.5832534,1.0092812,0.35919896,0.43810165,0.07890269,1.1561761,1.5590925,0.40291643,12.691851,23.946938,11.255087
2015-02-01,1.7347045,2.100762,0.3660574,5.2935276,7.2793207,1.9857931,0.3536903,0.43713647,0.083446175,1.1385798,1.5822496,0.4436698,16.251404,38.56613,22.314728
2015-02-02,1.2908688,2.064035,0.7731662,3.9615736,7.113105,3.1515312,0.4389149,0.4975678,0.058652908,1.181082,1.7580199,0.5769379,13.221476,37.64868,24.427206
2015-02-03,1.6554477,2.0601919,0.40474415,4.369743,6.7702327,2.4004898,0.6764569,0.54224145,-0.13421547,2.2008424,2.403158,0.20231557,14.906289,31.694721,16.788433
2015-02-04,4.6186624,2.034981,-2.5836813,6.6871333,6.2829175,-0.4042158,0.9391562,0.5259924,-0.41316378,3.7525392,2.5527315,-1.1998076,18.671227,26.992933,8.321707
2015-02-05,2.9456372,1.9842672,-0.96137,8.155781,5.827158,-2.3286228,0.42556158,0.48759922,0.062037647,2.153861,2.289326,0.1354649,17.108404,23.637447,6.529043
2015-02-06,1.5067754,1.9489725,0.44219708,4.4628463,5.4546795,0.9918332,0.3760729,0.45870504,0.082632124,1.3166735,1.9985263,0.6818528,12.497471,21.14767,8.6502
2015-02-07,1.3788431,1.9365029,0.55765986,3.694068,5.135007,1.440939,0.32392454,0.44348308,0.11955854,1.0355899,1.8113403,0.7757504,9.0416,19.287594,10.245994
2015-02-08,1.6050019,1.9402518,0.3352499,3.6599345,4.9090953,1.2491608,0.42775738,0.43729654,0.009539157,1.2311625,1.7040229,0.47286034,9.085684,17.83284,8.747156
2015-02-09,1.8158007,1.9455338,0.12973309,4.151252,4.7149186,0.5636668,0.31699908,0.4339915,0.116992414,1.0335402,1.6404879,0.60694766,9.361103,16.677599,7.316496
2015-02-10,1.6655312,1.9439662,0.278435,3.985045,4.569623,0.58457804,0.28999162,0.4321643,0.1421727,0.97062564,1.5986531,0.62802744,9.057509,15.732752,6.6752424
2015-02-11,1.5939176,1.938462,0.3445444,3.5764894,4.4398494,0.8633599,0.29522008,0.4315652,0.13634512,1.1007104,1.5658691,0.4651587,8.983172,14.947664,5.964492
2015-02-12,2.0210404,1.9314392,-0.08960128,4.1877427,4.3247647,0.13702202,0.31463742,0.43048665,0.11584923,1.055109,1.5370712,0.4819622,9.761478,14.253278,4.4917994
2015-02-13,2.2331824,1.9247472,-0.3084352,6.167501,4.2268662,-1.9406347,0.31946242,0.42723855,0.107776135,0.9757955,1.5102327,0.5344372,12.743414,13.678144,0.9347305
2015-02-14,2.3697596,2.5755024,0.20574284,8.016301,8.831654,0.81535244,0.87730443,0.90986156,0.03255713,3.0398984,3.4225364,0.38263798,19.378654,20.010313,0.63165855
