input_projector,khop,loss_id,loss_name,model_name,setting_id,spatial,target_station_name,temporal,variant_id,windowsize
slope,2,meankge,mean_kge,gr2n,S0001_gr2n_gat_attn_slope_w16_k2_meankge,gat,,attention,gr2n_gat_attn_slope,16
slope,3,meankge,mean_kge,gr2n,S0002_gr2n_gat_attn_slope_w16_k3_meankge,gat,,attention,gr2n_gat_attn_slope,16
slope,4,meankge,mean_kge,gr2n,S0003_gr2n_gat_attn_slope_w16_k4_meankge,gat,,attention,gr2n_gat_attn_slope,16
slope,2,meankge,mean_kge,gr2n,S0004_gr2n_gat_attn_slope_w24_k2_meankge,gat,,attention,gr2n_gat_attn_slope,24
slope,3,meankge,mean_kge,gr2n,S0005_gr2n_gat_attn_slope_w24_k3_meankge,gat,,attention,gr2n_gat_attn_slope,24
slope,4,meankge,mean_kge,gr2n,S0006_gr2n_gat_attn_slope_w24_k4_meankge,gat,,attention,gr2n_gat_attn_slope,24
slope,2,meankge,mean_kge,gr2n,S0007_gr2n_gat_attn_slope_w32_k2_meankge,gat,,attention,gr2n_gat_attn_slope,32
slope,3,meankge,mean_kge,gr2n,S0008_gr2n_gat_attn_slope_w32_k3_meankge,gat,,attention,gr2n_gat_attn_slope,32
slope,4,meankge,mean_kge,gr2n,S0009_gr2n_gat_attn_slope_w32_k4_meankge,gat,,attention,gr2n_gat_attn_slope,32
slope,2,meankge,mean_kge,gr2n,S0010_gr2n_gat_attn_slope_w48_k2_meankge,gat,,attention,gr2n_gat_attn_slope,48
slope,3,meankge,mean_kge,gr2n,S0011_gr2n_gat_attn_slope_w48_k3_meankge,gat,,attention,gr2n_gat_attn_slope,48
slope,4,meankge,mean_kge,gr2n,S0012_gr2n_gat_attn_slope_w48_k4_meankge,gat,,attention,gr2n_gat_attn_slope,48
slope,2,meankge,mean_kge,gr2n_seq2seq,S0013_gr2n_seq2seq_gcn_attn_slope_w16_k2_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,16
slope,3,meankge,mean_kge,gr2n_seq2seq,S0014_gr2n_seq2seq_gcn_attn_slope_w16_k3_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,16
slope,4,meankge,mean_kge,gr2n_seq2seq,S0015_gr2n_seq2seq_gcn_attn_slope_w16_k4_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,16
slope,2,meankge,mean_kge,gr2n_seq2seq,S0016_gr2n_seq2seq_gcn_attn_slope_w24_k2_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,24
slope,3,meankge,mean_kge,gr2n_seq2seq,S0017_gr2n_seq2seq_gcn_attn_slope_w24_k3_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,24
slope,4,meankge,mean_kge,gr2n_seq2seq,S0018_gr2n_seq2seq_gcn_attn_slope_w24_k4_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,24
slope,2,meankge,mean_kge,gr2n_seq2seq,S0019_gr2n_seq2seq_gcn_attn_slope_w32_k2_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,32
slope,3,meankge,mean_kge,gr2n_seq2seq,S0020_gr2n_seq2seq_gcn_attn_slope_w32_k3_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,32
slope,4,meankge,mean_kge,gr2n_seq2seq,S0021_gr2n_seq2seq_gcn_attn_slope_w32_k4_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,32
slope,2,meankge,mean_kge,gr2n_seq2seq,S0022_gr2n_seq2seq_gcn_attn_slope_w48_k2_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,48
slope,3,meankge,mean_kge,gr2n_seq2seq,S0023_gr2n_seq2seq_gcn_attn_slope_w48_k3_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,48
slope,4,meankge,mean_kge,gr2n_seq2seq,S0024_gr2n_seq2seq_gcn_attn_slope_w48_k4_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,48
